name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,total_fights,win_rate,loss_rate,draw_rate,win_loss_ratio
Diego Lopes,The Beast,23,6,0,180.34,65.77,182.88,Orthodox,1994-12-30,2.47,53.0,4.91,37.0,0.0,0.0,42.0,5.3,30,29,0.7931034482758621,0.20689655172413793,0.0,3.2857142857142856
Colin Robinson,Big C,10,12,0,193.04,110.22,181.80887362637364,Orthodox,1968-11-27,6.19,69.0,7.91,37.0,2.58,100.0,50.0,5.2,56,22,0.45454545454545453,0.5454545454545454,0.0,0.7692307692307693
Nick Garcia,Nitro,8,3,0,162.56,56.7,181.80887362637364,Orthodox,1987-01-21,0.67,25.0,3.03,50.0,0.0,0.0,83.0,5.1,38,11,0.7272727272727273,0.2727272727272727,0.0,2.0
Justin Levens,The Executioner,10,7,0,180.34,83.91,181.80887362637364,Orthodox,1980-04-18,1.24,47.0,3.15,37.0,1.69,50.0,33.0,5.1,45,17,0.5882352941176471,0.4117647058823529,0.0,1.25
Mike Ciesnolevicz,The Beast,19,4,0,182.88,106.59,181.80887362637364,Orthodox,1979-10-28,0.51,50.0,4.62,57.0,0.0,0.0,20.0,5.1,45,23,0.8260869565217391,0.17391304347826086,0.0,3.8
Magno Almeida,The Beast,10,3,0,182.88,70.31,181.80887362637364,Orthodox,1987-01-21,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,38,13,0.7692307692307693,0.23076923076923078,0.0,2.5
George Pacurariu,Constantine,10,5,0,170.18,61.23,181.80887362637364,Orthodox,1987-01-21,4.69,53.0,2.68,63.0,5.03,100.0,100.0,5.0,38,15,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667
Ronaldo Candido,Pacman,6,0,0,167.64,56.7,181.80887362637364,Southpaw,1989-04-24,1.67,42.0,3.87,52.0,8.0,53.0,0.0,5.0,36,6,1.0,0.0,0.0,6.0
Alex Schoenauer,The Beast,15,10,0,190.5,83.91,181.80887362637364,Orthodox,1976-05-05,1.22,40.0,2.27,42.0,0.0,0.0,22.0,4.9,49,25,0.6,0.4,0.0,1.3636363636363635
Justin Guthrie,The Beast,18,9,0,185.42,77.11,181.80887362637364,Orthodox,1987-01-21,0.16,33.0,3.74,14.0,2.44,25.0,0.0,4.9,38,27,0.6666666666666666,0.3333333333333333,0.0,1.8
Billy Pasulatan,The Beast,10,3,0,165.1,56.7,167.64,Switch,1991-08-07,0.65,20.0,5.22,48.0,0.0,0.0,0.0,4.9,34,13,0.7692307692307693,0.23076923076923078,0.0,2.5
Aaron Ely,The Cyborg,5,2,0,172.72,61.23,181.80887362637364,Orthodox,1987-01-21,0.82,15.0,0.66,69.0,2.47,100.0,50.0,4.9,38,7,0.7142857142857143,0.2857142857142857,0.0,1.6666666666666667
Shohei Nose,The Beast,10,4,2,167.64,61.23,172.72,Switch,1997-10-19,2.48,40.0,3.61,53.0,3.23,17.0,0.0,4.8,27,16,0.625,0.25,0.125,2.0
TJ Waldburger,The Beast,16,9,0,180.34,77.11,190.5,Orthodox,1988-04-25,2.02,51.0,2.39,40.0,3.03,46.0,40.0,4.8,37,25,0.64,0.36,0.0,1.6
Ronda Rousey,Rowdy,12,2,0,170.18,61.23,167.64,Orthodox,1987-02-01,4.17,52.0,4.14,44.0,6.26,68.0,50.0,4.8,38,14,0.8571428571428571,0.14285714285714285,0.0,4.0
Nik Theotikos,The Beast,6,2,0,178.23432467873064,83.91,181.80887362637364,Orthodox,1987-01-21,0.0,0.0,5.48,19.0,0.0,0.0,0.0,4.8,38,8,0.75,0.25,0.0,2.0
Valentijn Overeem,The Beast,30,32,0,190.5,104.33,181.80887362637364,Orthodox,1976-08-17,0.93,34.0,1.49,58.0,1.86,50.0,0.0,4.7,49,62,0.4838709677419355,0.5161290322580645,0.0,0.9090909090909091
Keith Rockel,Rock,12,4,1,182.88,83.91,181.80887362637364,Orthodox,1987-01-21,1.13,73.0,0.21,66.0,4.63,75.0,100.0,4.6,38,17,0.7058823529411765,0.23529411764705882,0.058823529411764705,2.4
Mark Hughes,The Beast,6,2,0,175.26,92.99,181.80887362637364,Southpaw,1973-10-13,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,51,8,0.75,0.25,0.0,2.0
Jimmy Flick,The Brick,16,7,0,170.18,56.7,172.72,Orthodox,1990-09-07,1.99,50.0,5.05,38.0,1.66,27.0,0.0,4.4,35,23,0.6956521739130435,0.30434782608695654,0.0,2.0
Kaline Medeiros,The Dark Angel,8,5,0,160.02,52.16,181.80887362637364,Orthodox,1987-01-21,2.06,70.0,0.29,83.0,4.41,100.0,0.0,4.4,38,13,0.6153846153846154,0.38461538461538464,0.0,1.3333333333333333
Takeru Uchida,The Beast,6,1,0,165.1,56.7,172.72,Southpaw,2002-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,22,7,0.8571428571428571,0.14285714285714285,0.0,3.0
Joe Pearson,The Triangular Strangler,45,30,1,177.8,65.77,181.80887362637364,Orthodox,1978-03-28,0.59,18.0,3.51,33.0,0.0,0.0,0.0,4.4,47,76,0.5921052631578947,0.39473684210526316,0.013157894736842105,1.4516129032258065
Jordan Bailey,The Beast,6,3,0,175.26,65.77,181.80887362637364,Orthodox,1987-01-21,1.74,40.0,0.29,0.0,4.35,100.0,0.0,4.3,38,9,0.6666666666666666,0.3333333333333333,0.0,1.5
Branden Lee Hinkle,The Iron Lion,17,11,0,190.5,106.59,181.80887362637364,Orthodox,1973-07-29,2.61,69.0,3.91,26.0,4.34,57.0,66.0,4.3,52,28,0.6071428571428571,0.39285714285714285,0.0,1.4166666666666667
Goiti Yamauchi,The Beast,21,3,0,177.8,65.77,181.80887362637364,Orthodox,1987-01-21,1.66,54.0,1.01,66.0,0.0,0.0,0.0,4.3,38,24,0.875,0.125,0.0,5.25
Masakatsu Okuda,The Beast,8,5,0,178.23432467873064,77.11,181.80887362637364,Orthodox,1987-01-21,0.0,0.0,4.27,34.0,0.0,0.0,0.0,4.3,38,13,0.6153846153846154,0.38461538461538464,0.0,1.3333333333333333
Wayne Cole,The Beast,16,25,0,185.42,92.99,181.80887362637364,Orthodox,1987-01-21,0.57,20.0,8.33,27.0,4.31,25.0,0.0,4.3,38,41,0.3902439024390244,0.6097560975609756,0.0,0.6153846153846154
Jason Glaza,The Beast,3,2,0,182.88,104.33,181.80887362637364,Orthodox,1987-01-21,4.34,54.0,0.43,40.0,4.34,100.0,0.0,4.3,38,5,0.6,0.4,0.0,1.0
Bret Bergmark,The Angry Hick,6,1,1,175.26,77.11,181.80887362637364,Orthodox,1987-01-21,2.78,52.0,2.78,37.0,4.17,100.0,50.0,4.2,38,8,0.75,0.125,0.125,3.0
Genki Sudo,Neo-Samurai,15,4,2,175.26,70.31,181.80887362637364,Orthodox,1978-03-08,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2,47,21,0.7142857142857143,0.19047619047619047,0.09523809523809523,3.0
Yasuhito Namekawa,The Beast,25,16,4,175.26,92.99,181.80887362637364,Orthodox,1974-10-27,0.14,50.0,3.65,38.0,2.11,25.0,0.0,4.2,50,45,0.5555555555555556,0.35555555555555557,0.08888888888888889,1.4705882352941178
Sean McCorkle,The Beast,17,7,0,200.66,120.2,205.74,Orthodox,1976-07-17,0.85,44.0,2.48,52.0,2.12,40.0,33.0,4.2,49,24,0.7083333333333334,0.2916666666666667,0.0,2.125
Jeremy Lang,The Beast,21,2,0,180.34,92.99,181.80887362637364,Southpaw,1975-05-11,1.13,50.0,1.41,42.0,4.22,60.0,0.0,4.2,50,23,0.9130434782608695,0.08695652173913043,0.0,7.0
Rene Kronvold,The Beast,5,1,0,172.72,77.11,181.80887362637364,Orthodox,1987-01-21,0.82,100.0,2.47,60.0,0.0,0.0,66.0,4.1,38,6,0.8333333333333334,0.16666666666666666,0.0,2.5
